ts,cash,equity,open_positions,exposure
2025-03-14 00:00:00+00:00,605.14,128794.14,3,128189.0
2025-03-17 00:00:00+00:00,605.14,129509.76,3,128904.62
2025-03-18 00:00:00+00:00,605.14,128035.99,3,127430.85
2025-03-19 00:00:00+00:00,605.14,129576.46,3,128971.32
2025-03-20 00:00:00+00:00,605.14,129081.83,3,128476.69
2025-03-21 00:00:00+00:00,605.14,129914.15,3,129309.01
2025-03-24 00:00:00+00:00,605.14,132060.25,3,131455.11
2025-03-25 00:00:00+00:00,605.14,133004.17,3,132399.03
2025-03-26 00:00:00+00:00,605.14,131220.44,3,130615.3
2025-03-27 00:00:00+00:00,605.14,131300.77,3,130695.63
2025-03-28 00:00:00+00:00,605.14,128119.2,3,127514.06
2025-03-31 00:00:00+00:00,605.14,129220.98,3,128615.84
2025-04-01 00:00:00+00:00,605.14,129891.2,3,129286.06
2025-04-02 00:00:00+00:00,605.14,130613.6,3,130008.46
2025-04-03 00:00:00+00:00,605.14,122156.77,3,121551.63
2025-04-04 00:00:00+00:00,605.14,114332.01,3,113726.87
2025-04-07 00:00:00+00:00,605.14,113019.97,3,112414.83
2025-04-08 00:00:00+00:00,605.14,109972.62,3,109367.48
2025-04-09 00:00:00+00:00,605.14,123632.93,3,123027.79
2025-04-10 00:00:00+00:00,605.14,118351.24,3,117746.1
2025-04-11 00:00:00+00:00,605.14,121311.87,3,120706.73
2025-04-14 00:00:00+00:00,605.14,122834.42,3,122229.28
2025-04-15 00:00:00+00:00,605.14,122691.22,3,122086.08
2025-04-16 00:00:00+00:00,605.14,118995.45,3,118390.31
2025-04-17 00:00:00+00:00,605.14,119568.95,3,118963.81
2025-04-21 00:00:00+00:00,605.14,116866.79,3,116261.65
2025-04-22 00:00:00+00:00,605.14,120200.89,3,119595.75
2025-04-23 00:00:00+00:00,605.14,122685.24,3,122080.1
2025-04-24 00:00:00+00:00,605.14,125444.53,3,124839.39
2025-04-25 00:00:00+00:00,605.14,126398.42,3,125793.28
2025-04-28 00:00:00+00:00,605.14,126566.92,3,125961.78
2025-04-29 00:00:00+00:00,605.14,127324.54,3,126719.4
2025-04-30 00:00:00+00:00,605.14,127584.99,3,126979.85
2025-05-01 00:00:00+00:00,605.14,128610.97,3,128005.83
2025-05-02 00:00:00+00:00,605.14,128361.74,3,127756.6
2025-05-05 00:00:00+00:00,605.14,126600.81,3,125995.67
2025-05-06 00:00:00+00:00,605.14,125753.48,3,125148.34
2025-05-07 00:00:00+00:00,605.14,125670.24,3,125065.1
2025-05-08 00:00:00+00:00,605.14,126664.72,3,126059.58
2025-05-09 00:00:00+00:00,605.14,126780.88,3,126175.74
2025-05-12 00:00:00+00:00,605.14,132392.19,3,131787.05
2025-05-13 00:00:00+00:00,605.14,133806.0,3,133200.86
2025-05-14 00:00:00+00:00,605.14,134029.14,3,133424.0
2025-05-15 00:00:00+00:00,47584.96,133860.23,2,86275.27
2025-05-16 00:00:00+00:00,47584.96,134111.54,2,86526.58
2025-05-19 00:00:00+00:00,47584.96,133682.95,2,86097.99
2025-05-20 00:00:00+00:00,47584.96,133158.39,2,85573.43
2025-05-21 00:00:00+00:00,47584.96,131468.55,2,83883.59
2025-05-22 00:00:00+00:00,47584.96,131345.37,2,83760.41
2025-05-23 00:00:00+00:00,47584.96,129863.54,2,82278.58
2025-05-27 00:00:00+00:00,47584.96,131744.04,2,84159.08
2025-05-28 00:00:00+00:00,47584.96,131521.23,2,83936.27
2025-05-29 00:00:00+00:00,47584.96,131609.16,2,84024.2
2025-05-30 00:00:00+00:00,47584.96,131732.04,2,84147.08
2025-06-02 00:00:00+00:00,47584.96,132151.73,2,84566.77
2025-06-03 00:00:00+00:00,47584.96,132715.0,2,85130.04
2025-06-04 00:00:00+00:00,47584.96,132615.83,2,85030.87
2025-06-05 00:00:00+00:00,47584.96,131971.4,2,84386.44
2025-06-06 00:00:00+00:00,47584.96,133075.3,2,85490.34
2025-06-09 00:00:00+00:00,47584.96,132640.17,2,85055.21
2025-06-10 00:00:00+00:00,47584.96,133137.43,2,85552.47
2025-06-11 00:00:00+00:00,47584.96,132254.22,2,84669.26
2025-06-12 00:00:00+00:00,47584.96,132519.31,2,84934.35
2025-06-13 00:00:00+00:00,47584.96,131468.81,2,83883.85
2025-06-16 00:00:00+00:00,47584.96,132286.38,2,84701.42
2025-06-17 00:00:00+00:00,47584.96,131353.29,2,83768.33
2025-06-18 00:00:00+00:00,47584.96,131527.78,2,83942.82
2025-06-20 00:00:00+00:00,47584.96,132137.52,2,84552.56
2025-06-23 00:00:00+00:00,47584.96,132686.01,2,85101.05
2025-06-24 00:00:00+00:00,47584.96,132964.92,2,85379.96
2025-06-25 00:00:00+00:00,47584.96,133234.28,2,85649.32
2025-06-26 00:00:00+00:00,47584.96,133491.95,2,85906.99
2025-06-27 00:00:00+00:00,47584.96,133741.47,2,86156.51
2025-06-30 00:00:00+00:00,47584.96,134757.22,2,87172.26
2025-07-01 00:00:00+00:00,95020.95,135130.21,1,40109.26
2025-07-02 00:00:00+00:00,95020.95,136021.87,1,41000.92
2025-07-03 00:00:00+00:00,95020.95,136236.1,1,41215.15
2025-07-07 00:00:00+00:00,95020.95,135541.3,1,40520.35
2025-07-08 00:00:00+00:00,95020.95,135552.88,1,40531.93
2025-07-09 00:00:00+00:00,95020.95,135770.97,1,40750.02
2025-07-10 00:00:00+00:00,95020.95,136016.08,1,40995.13
2025-07-11 00:00:00+00:00,95020.95,135774.83,1,40753.88
2025-07-14 00:00:00+00:00,95020.95,135284.61,1,40263.66
2025-07-15 00:00:00+00:00,95020.95,135379.18,1,40358.23
2025-07-16 00:00:00+00:00,95020.95,135581.83,1,40560.88
2025-07-17 00:00:00+00:00,95020.95,135554.81,1,40533.86
2025-07-18 00:00:00+00:00,95020.95,135778.69,1,40757.74
2025-07-21 00:00:00+00:00,95020.95,136029.59,1,41008.64
2025-07-22 00:00:00+00:00,95020.95,136400.15,1,41379.2
2025-07-23 00:00:00+00:00,95020.95,136351.9,1,41330.95
2025-07-24 00:00:00+00:00,95020.95,136276.63,1,41255.68
2025-07-25 00:00:00+00:00,95020.95,136299.79,1,41278.84
2025-07-28 00:00:00+00:00,95020.95,136332.6,1,41311.65
2025-07-29 00:00:00+00:00,95020.95,135796.06,1,40775.11
2025-07-30 00:00:00+00:00,95020.95,135367.6,1,40346.65
2025-07-31 00:00:00+00:00,95020.95,135081.96,1,40061.01
2025-08-01 00:00:00+00:00,95020.95,134080.29,1,39059.34
2025-08-04 00:00:00+00:00,95020.95,134267.5,1,39246.55
2025-08-05 00:00:00+00:00,95020.95,134184.51,1,39163.56
2025-08-06 00:00:00+00:00,95020.95,136178.2,1,41157.25
2025-08-07 00:00:00+00:00,95020.95,137486.74,1,42465.79
2025-08-08 00:00:00+00:00,95020.95,139285.5,1,44264.55
2025-08-11 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-12 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-13 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-14 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-15 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-18 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-19 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-20 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-21 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-22 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-25 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-26 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-27 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-28 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-08-29 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-09-02 00:00:00+00:00,138987.51,138987.51,0,0.0
2025-09-03 00:00:00+00:00,138987.51,138987.51,0,0.0
